Contig,ORF,Day1_L2,Day1_L6,Day1_L10,Day1_D2,Day1_D6,Day1_D10,Day2_LL2,Day2_LL6,Day2_LL10,Day2_LD2,Day2_LD6,Day2_LD10
Contig10.2_3_1621_1328,cce_2206,0.05731432,0.06113264,-0.2062665,-0.4274375,-0.27865029999999996,0.14813370000000003,-0.14367879999999997,-0.06854322,-0.15558550000000002,-0.2920066,-0.2359064,-0.24562329999999996
Contig10.2_4_1822_3156,cce_2205,-0.008108666,0.6132929,-0.44746800000000003,-0.7848308,-0.5698069,-0.5895503000000001,-0.09389552,0.8399269,-0.5808549,-0.8420063,0.179886,0.649482
Contig100.1_1_1_576,cce_0225,0.37767649999999997,-0.10581489999999999,-0.2198241,-0.8440681999999999,-0.7230405,-0.8735135,0.4065935,0.09449709,-0.127593,-0.05099887,-0.03667357,0.30559790000000003
Contig100.1_2_781_1419,cce_0224,0.8151984999999999,-0.8303805000000001,-0.5243011,-0.9109345999999999,-0.7820785,-2.090648,0.7750796999999999,-0.1221931,-0.4228385,0.4697295999999999,0.033125,0.1141855
Contig100.2_1_1_354,cce_0223,0.6544352,-0.7558858,-0.2437871,-0.4467214,-0.4559085,-0.8264884,0.7925749,-0.04765681,-0.1272508,0.4606611,0.04841791,0.1342295
Contig100.2_2_445_347,Contig100.2_2_445_347,0.07362724,0.02605151,0.004988718,0.2027052,0.14716410000000002,0.1648498,0.11966489999999999,-0.01161225,-0.09697360000000001,0.08160397,0.16119289999999997,0.05088219
Contig100.2_3_1243_446,cce_0222,0.17379270000000002,-0.277953,0.06466194,0.6675441999999999,0.586633,0.5523265,0.36726020000000004,0.33889159999999996,0.8008479000000001,0.5055177,0.22332539999999998,-0.5847914000000001
Contig100.2_4_1786_1391,cce_0221,0.1589259,0.07283049999999999,-0.10871960000000001,0.2039697,-0.07507742,-0.04861715,0.01420579,-0.05130571,-0.1251776,0.07829804,-0.03750092,-0.10560919999999999
Contig100.2_5_4564_2057,cce_0220,0.03159233,0.05606988,-0.2568858,0.8856884,0.09319223,0.10648189999999999,-0.1770975,-0.1641654,-0.23700460000000004,0.1771117,-0.23706039999999998,-0.5086544
Contig100.2_6_6029_5019,cce_0219,0.1533269,-0.3300363,-0.2450177,-0.6108001000000001,-1.168871,-0.5267513,0.3932176,-0.1544588,-0.15253599999999998,0.08988981,0.2238532,0.153142
