Contig,ORF,Day1_D1,Day1_D5,Day1_D9,Day1_L1,Day1_L5,Day1_L9,Day2_D1,Day2_D5,Day2_D9,Day2_L1,Day2_L5,Day2_L9
Contig4.1_80_60143_60616,cce_0878,-0.1,-0.05,-0.1,-0.12,-0.15,-0.1,-0.16,-0.13,-0.08,-0.11,-0.06,-0.05
Contig4.1_81_61007_61654,cce_0879,0.13,-0.3,-0.24,-0.25,0.15,0.25,0.21,-0.34,-0.32,-0.43,0.02,0.12
Contig4.1_82_61831_62403,cce_0880,0.02,-0.64,0.15,-0.32,0.25,0.25,-0.05,-0.6,0.24,-0.3,0.14,0.22
Contig4.1_8_5528_5244,cce_0808,0.21,0.09,0.12,-0.1,0.04,0.16,0.17,0.12,0.17,0.03,0.1,0.2
Contig4.1_9_5744_6976,cce_0809,1.39,-0.38,-0.48,-0.51,-1.0,0.14,1.05,-0.28,-0.25,-0.04,-0.19,0.16
Contig4.2_1_1_1017,cce_0880,0.21,-0.49,0.16,-0.33,0.11,0.22,0.05,-0.49,0.3,-0.3,0.05,0.18
Contig4.2_2_1848_1291,cce_0881,-0.26,-0.19,0.16,0.05,-0.03,-0.04,-0.35,-0.15,0.23,0.05,0.12,0.05
Contig4.2_3_2566_1772,cce_0882,-0.05,-0.05,-0.16,0.31,-0.44,-0.11,-0.07,-0.15,-0.18,0.28,-0.29,-0.13
Contig4.2_4_3428_2613,cce_0883,-0.19,-0.18,-0.2,0.31,-0.3,-0.07,-0.24,-0.22,-0.21,0.31,-0.12,-0.03
Contig4.2_5_4507_3626,cce_0884,,0.02,-0.06,0.27,-0.38,-0.08,-0.01,-0.07,-0.05,0.29,-0.15,-0.08
Contig4.2_7_5768_4806,cce_0885,-0.15,-0.03,-0.34,0.2,-0.43,0.03,-0.14,-0.21,-0.35,0.13,-0.31,0.04
Contig4.2_8_7058_5901,cce_0886,-0.49,-0.63,-0.59,0.37,-0.42,0.53,-0.42,-0.51,-0.68,0.38,-0.22,0.49
Contig4.2_9_7387_8424,cce_0887,0.61,0.4,-0.82,-1.0,-0.67,0.83,0.51,0.38,-0.46,-0.76,-0.55,0.68
Contig4.3_10_11931_10630,cce_0897,0.11,0.03,0.05,0.01,0.01,0.07,0.09,0.08,0.05,,0.04,0.05
Contig4.3_11_12155_11961,cce_0898,0.18,0.06,0.15,0.06,0.15,0.14,0.21,0.13,0.14,0.02,0.09,0.08
Contig4.3_12_12336_12142,cce_0899,0.29,-0.06,0.1,0.06,0.09,0.11,0.29,0.06,0.09,0.04,0.09,0.1
Contig4.3_14_13796_13413,cce_0901,1.64,-0.29,-0.9,-1.2,-0.64,0.18,1.55,-0.35,-0.86,-1.04,-0.59,-0.03
Contig4.3_15_15014_13869,cce_0902,1.76,-0.33,-1.94,-2.26,-1.98,0.68,1.76,-0.41,-1.73,-1.94,-1.72,0.38
Contig4.3_16_15212_16093,cce_0904,-0.18,-0.32,-0.16,0.31,0.46,0.14,-0.21,-0.13,-0.2,0.29,0.36,0.12
Contig4.3_17_16505_17392,cce_0905,0.09,-0.85,-1.01,0.43,1.08,-0.17,-0.12,-0.63,-0.86,0.19,0.07,-0.37
Contig4.3_18_18687_17590,cce_0906,0.27,0.02,0.12,0.14,0.12,0.07,0.19,0.15,0.07,0.08,0.06,0.01
Contig4.3_19_19699_18722,cce_0907,0.02,-0.1,-0.01,0.32,0.09,-0.01,-0.03,-0.01,0.02,0.22,0.07,0.01
Contig4.3_1_205_2241,cce_0888,0.29,0.4,0.07,-0.1,-0.09,0.02,0.26,0.42,0.29,0.08,0.03,0.04
Contig4.3_20_19875_20222,cce_0908,0.05,0.03,0.02,-0.02,-0.09,-0.03,0.02,,-0.02,-0.03,-0.01,-0.07
Contig4.3_21_20226_20846,cce_0909,-0.19,-0.12,-0.13,-0.05,-0.19,-0.12,-0.25,-0.1,-0.13,-0.01,-0.07,-0.1
Contig4.3_22_21489_20860,cce_0910,-0.14,-0.14,-0.01,0.33,0.21,0.07,-0.12,,0.03,0.27,0.16,0.07
Contig4.3_23_21633_21878,cce_0911,-0.27,-0.18,0.11,0.17,-0.08,-0.16,-0.25,-0.07,0.11,0.17,0.03,-0.12
Contig4.3_24_21964_23073,cce_0912,-0.74,-0.55,-0.18,0.48,0.07,-0.43,-0.72,-0.43,-0.23,0.4,0.14,-0.44
Contig4.3_25_26644_23213,cce_0913,0.1,0.05,0.25,0.11,0.11,0.09,0.13,0.19,0.3,0.06,0.03,0.03
Contig4.3_26_27910_27098,cce_0914,-0.02,0.2,0.1,0.22,0.11,-0.16,0.06,0.38,0.33,0.28,0.29,-0.03
Contig4.3_27_28320_27976,cce_0915,-0.36,0.28,0.19,0.35,-0.11,-0.21,-0.48,0.46,0.23,0.28,-0.02,-0.15
Contig4.3_28_28397_29341,cce_0916,-0.2,-0.09,-0.2,-0.19,0.05,0.04,-0.18,-0.14,-0.11,-0.08,0.07,0.14
Contig4.3_29_29358_30053,cce_0917,-0.21,-0.04,-0.06,-0.06,-0.06,0.05,-0.23,-0.07,-0.01,0.05,0.06,0.08
Contig4.3_2_2603_2238,cce_0889,-0.07,-0.23,0.06,-0.04,0.23,0.26,-0.09,-0.12,0.27,0.04,0.18,0.25
