Contig,ORF,Day1_D1,Day1_D5,Day1_D9,Day1_L1,Day1_L5,Day1_L9,Day2_D1,Day2_D5,Day2_D9,Day2_L1,Day2_L5,Day2_L9
Contig191.1_2_418_194,cce_0149,0.29,0.25,0.2,0.07,0.26,0.09,0.3,0.29,0.16,0.02,0.05,0.03
Contig192.1_1_1_216,cce_4045,0.25,0.4,-0.07,-0.05,-0.16,0.04,0.18,0.25,-0.14,0.08,0.11,0.13
Contig193.1_1_2_424,cce_1368,-0.05,-0.05,-0.01,0.01,0.05,0.05,0.01,0.04,0.08,0.05,0.07,0.08
Contig193.1_2_525_662,cce_1367,-0.28,0.15,-0.07,-0.03,-0.23,-0.1,-0.4,0.36,-0.02,0.3,-0.06,-0.04
Contig193.1_3_700_816,cce_1366,-0.09,0.14,,0.05,-0.18,-0.07,-0.13,0.35,0.03,0.3,-0.03,-0.01
Contig194.1_1_368_3,Contig194.1_1_368_3,0.26,0.14,0.21,0.15,0.21,0.17,0.32,0.23,0.2,0.09,0.1,0.13
Contig194.1_2_753_613,Contig194.1_2_753_613,0.28,-0.04,0.11,0.04,0.1,0.05,0.16,0.08,,-0.02,0.03,-0.02
Contig195.1_1_633_220,Contig195.1_1_633_220,0.27,0.03,0.18,0.06,0.11,0.08,0.26,0.17,0.12,-0.01,0.04,0.04
Contig196.1_1_441_1,cce_1615,-0.11,-0.34,-0.22,1.01,0.27,-0.42,-0.31,-0.17,-0.14,0.66,-0.28,-0.43
Contig196.1_2_803_711,cce_1614,0.22,0.55,0.04,-0.1,-0.16,0.09,0.12,0.68,0.08,0.01,-0.04,0.14
Contig197.1_1_1037_366,cce_4213,-0.04,-0.14,-0.02,0.08,,-0.08,-0.14,-0.07,-0.04,0.06,0.02,-0.03
Contig197.1_2_1138_1034,Contig197.1_2_1138_1034,-0.49,-0.4,-0.23,0.47,0.15,-0.03,-0.42,-0.18,-0.17,0.35,0.2,0.02
Contig198.1_1_792_1442,Contig198.1_1_792_1442,0.18,0.12,0.17,0.1,0.14,0.14,0.25,0.14,0.15,0.05,0.09,0.08
Contig199.1_1_2_829,cce_1704,-0.07,-0.02,-0.05,-0.18,-0.09,-0.13,-0.15,-0.08,-0.07,-0.16,-0.12,-0.09
Contig2.1_1_3_2165,cce_2174,-0.26,0.43,-0.01,-0.2,-0.13,-0.34,-0.32,-0.02,,-0.12,-0.09,-0.15
Contig2.1_2_2187_2390,cce_2173,0.21,0.35,0.16,-0.1,-0.01,-0.03,0.28,0.14,0.18,-0.11,0.09,
Contig2.2_10_10560_10099,cce_2164,0.12,-0.18,-0.1,0.1,0.1,0.16,0.13,-0.04,-0.06,0.07,-0.01,0.12
Contig2.2_11_14019_10687,cce_2163,0.05,0.15,0.06,0.04,-0.01,0.02,0.1,0.08,0.08,0.03,0.02,0.02
Contig2.2_12_15013_13988,Contig2.2_12_15013_13988,,0.04,0.07,,-0.01,,-0.01,0.07,0.08,0.05,0.02,0.04
Contig2.2_13_16460_15045,cce_2161,-0.09,-0.02,-0.05,-0.04,-0.11,-0.07,-0.08,0.04,0.08,0.02,,-0.02
Contig2.2_14_17001_16594,cce_2160,0.27,0.17,0.2,,0.09,0.07,0.31,0.11,0.11,-0.08,0.06,0.01
Contig2.2_15_17521_17114,cce_2159,0.15,0.04,0.1,,0.09,0.07,0.2,0.09,0.13,0.02,0.09,0.06
Contig2.2_16_18062_17604,Contig2.2_16_18062_17604,0.13,-0.04,-0.12,-0.29,0.12,-0.08,0.09,-0.07,-0.07,-0.25,0.09,-0.01
Contig2.2_17_18358_19128,cce_2157,1.04,-0.15,-0.46,-0.57,-0.43,0.39,1.12,-0.08,-0.58,-0.43,-0.21,0.19
Contig2.2_18_19161_20450,cce_2156,0.26,1.04,-0.49,0.02,-0.81,-0.44,0.43,1.08,-0.57,-0.04,-0.41,-0.38
Contig2.2_19_21236_20487,cce_2155,-0.01,0.04,-0.1,-0.02,-0.07,0.01,-0.02,-0.03,,0.07,0.06,0.06
Contig2.2_1_2_1204,cce_2173,-0.11,0.24,0.01,-0.11,-0.25,-0.23,-0.16,-0.06,-0.03,-0.04,-0.11,-0.18
Contig2.2_20_22281_21220,cce_2154,0.08,-0.09,-0.02,-0.07,0.06,0.1,0.06,-0.04,-0.02,-0.09,0.07,0.14
Contig2.2_21_22893_25547,cce_2152,0.29,0.17,0.01,0.08,0.01,0.06,0.13,0.13,0.08,0.12,0.11,0.01
Contig2.2_22_25554_26183,cce_2151,0.4,0.6,0.14,-0.05,-0.03,-0.12,0.28,0.31,0.4,0.02,0.11,-0.01
Contig2.2_23_28562_26244,cce_2150,0.04,-0.02,0.01,0.26,0.14,-0.07,0.06,-0.02,-0.03,0.07,-0.07,-0.08
Contig2.2_24_28781_29512,cce_2149,0.05,,0.1,0.1,0.13,0.08,-0.02,0.08,0.1,0.1,0.1,0.09
Contig2.2_25_29901_29518,cce_2148,-0.25,-0.2,-0.1,0.03,-0.02,0.05,-0.26,-0.15,-0.04,0.03,0.05,0.07
Contig2.2_26_30127_29858,cce_2147,-0.06,-0.18,,0.05,0.06,0.15,-0.11,-0.07,0.09,0.08,0.21,0.22
Contig2.2_27_31710_30430,cce_2146,-0.09,-0.04,-0.08,-0.13,-0.11,-0.12,-0.1,-0.12,-0.11,-0.1,-0.08,-0.09
Contig2.2_29_31924_32175,cce_2144,0.12,0.06,0.1,-0.01,0.01,0.02,0.12,0.06,0.06,,0.03,0.01
Contig2.2_2_1313_1909,cce_2172,-0.48,0.41,0.09,0.17,-0.4,-0.52,-0.58,0.64,0.3,0.14,-0.22,-0.33
Contig2.2_30_32696_32271,cce_2143,-0.05,0.09,-0.03,-0.07,-0.08,-0.05,-0.08,,0.03,0.02,0.04,0.01
Contig2.2_31_32962_32693,cce_2142,-0.05,0.03,-0.01,-0.02,-0.04,0.03,-0.03,0.01,-0.02,,0.02,0.01
Contig2.2_32_33114_34214,cce_2141,-0.22,-0.07,-0.02,0.33,-0.07,-0.2,-0.23,0.03,-0.03,0.23,0.02,-0.2
Contig2.2_33_34237_34998,cce_2140,0.13,0.12,0.13,0.1,0.06,0.08,0.2,0.15,0.07,0.01,0.01,0.02
Contig2.2_34_35094_36764,cce_2139,-0.07,0.73,0.45,-0.03,-0.59,-0.47,-0.05,0.8,0.41,-0.1,-0.4,-0.47
Contig2.2_35_37059_36874,cce_2138,-0.09,0.41,0.37,-0.1,-0.3,-0.3,-0.09,0.51,0.5,-0.03,-0.29,-0.1
Contig2.2_36_37179_38639,cce_2137,0.31,0.38,0.11,-0.03,,-0.09,0.31,0.27,0.35,,0.08,0.02
Contig2.2_37_38723_39838,cce_2136,0.13,0.01,-0.03,0.18,0.11,0.08,0.14,0.09,0.14,0.22,0.16,0.13
Contig2.2_38_40194_40427,cce_2135,0.06,0.09,0.02,-0.02,-0.03,0.01,0.09,0.04,0.02,0.01,,-0.01
Contig2.2_39_40550_42127,cce_2134,1.0,0.18,-0.35,-0.48,-0.59,0.5,1.1,0.21,-0.55,-0.39,-0.51,0.19
Contig2.2_3_2048_2779,cce_2171,-0.51,0.37,0.02,0.34,-0.41,-0.54,-0.66,0.58,0.16,0.3,-0.31,-0.45
Contig2.2_40_42288_43187,cce_2133,0.89,0.26,-0.2,-0.32,-0.39,0.09,0.87,0.17,-0.21,-0.31,-0.28,-0.12
Contig2.2_41_43874_43191,cce_2132,-0.23,,0.18,-0.08,-0.24,-0.37,-0.43,,0.14,0.04,-0.03,-0.26
Contig2.2_42_44500_43961,cce_2131,0.1,0.22,-0.06,-0.28,-0.24,-0.17,0.05,0.01,-0.15,-0.3,-0.3,-0.23
Contig2.2_43_45659_44865,cce_2130,0.42,0.36,-0.28,-0.1,-0.4,-0.06,0.3,0.29,-0.23,-0.08,-0.34,-0.12
Contig2.2_44_45611_45703,Contig2.2_44_45611_45703,0.13,0.13,0.08,-0.03,-0.02,-0.04,0.13,0.09,0.06,-0.06,-0.03,0.01
Contig2.2_45_46048_45749,cce_2129,0.06,0.01,-0.09,-0.56,-0.02,0.19,0.13,-0.07,-0.07,-0.57,-0.06,0.24
Contig2.2_46_46346_46089,cce_2128,0.25,0.06,-0.06,-0.24,-0.12,0.07,0.31,0.08,-0.15,-0.2,-0.09,0.01
Contig2.2_47_46531_47064,cce_2127,-0.13,0.01,0.26,0.05,0.01,0.01,-0.13,0.18,0.31,0.01,0.15,0.06
Contig2.2_48_47320_47526,cce_2126,0.3,0.17,0.21,-0.01,0.08,0.07,0.33,0.14,0.13,-0.08,0.01,-0.01
Contig2.2_4_2985_5156,cce_2170,-0.08,0.11,-0.03,0.1,-0.15,-0.13,-0.1,0.09,-0.05,0.04,-0.09,-0.15
Contig2.2_50_49042_47846,cce_2124,-0.62,0.15,0.16,0.63,-0.43,-0.53,-0.69,0.25,0.14,0.65,-0.12,-0.39
Contig2.2_51_49459_50424,cce_2123,-0.43,0.49,0.13,0.17,-0.14,-0.11,-0.41,0.7,0.27,0.27,0.09,0.01
Contig2.2_52_50510_51070,cce_2122,0.02,0.34,0.2,0.38,-0.56,-0.86,-0.05,0.65,0.32,0.36,-0.51,-0.88
Contig2.2_53_51136_51603,cce_2121,0.26,0.53,0.19,0.34,-0.42,-0.58,0.18,0.75,0.27,0.29,-0.46,-0.63
Contig2.2_54_51728_52723,cce_2120,0.76,0.8,-0.21,-0.14,-1.01,-0.4,0.71,1.03,-0.24,-0.09,-0.83,-0.5
Contig2.2_55_53157_52915,cce_2119,-0.19,-0.18,-0.21,0.57,0.04,-0.33,-0.26,-0.17,-0.16,0.43,-0.22,-0.33
Contig2.2_56_54164_53436,cce_2118,-0.11,0.09,0.05,-0.12,-0.19,-0.27,-0.14,-0.07,,-0.15,-0.13,-0.22
Contig2.2_57_55812_54301,cce_2117,-0.05,0.06,,-0.03,-0.1,-0.07,0.01,,0.04,-0.01,-0.04,-0.07
Contig2.2_58_57273_55837,cce_2116,-0.13,0.07,-0.3,-0.18,-0.28,-0.2,-0.09,-0.07,-0.12,-0.21,-0.19,-0.17
Contig2.2_59_57731_57339,cce_2115,-0.13,-0.08,0.23,-0.13,0.05,-0.05,-0.11,0.08,0.26,-0.07,-0.02,
Contig2.2_5_5306_6064,cce_2169,0.3,-0.18,-0.07,-0.15,-0.02,0.16,0.27,-0.11,-0.06,-0.08,0.02,0.1
Contig2.2_60_58139_57768,cce_2114,0.29,-0.2,-0.14,-0.16,-0.03,0.08,0.25,-0.12,0.06,-0.03,0.05,0.09
Contig2.2_61_58341_59066,cce_2112,-0.5,-1.17,-0.82,1.38,0.69,-0.75,-0.98,-0.76,-0.94,0.77,-0.51,-0.72
Contig2.2_62_59063_59443,cce_2111,-0.33,-0.74,-0.49,1.22,0.64,-0.52,-0.6,-0.49,-0.6,0.54,-0.4,-0.48
Contig2.2_63_59453_59947,cce_2110,-0.13,-0.57,-0.39,0.98,0.57,-0.4,-0.37,-0.34,-0.47,0.6,-0.27,-0.38
Contig2.2_64_59953_60624,cce_2109,0.01,-0.24,-0.21,0.72,0.46,-0.23,-0.16,-0.13,-0.14,0.41,-0.24,-0.22
Contig2.2_65_60647_61129,cce_2108,0.14,-0.09,,0.45,0.4,-0.04,0.05,,-0.04,0.19,-0.08,-0.1
Contig2.2_66_61167_61640,cce_2107,0.19,0.01,0.1,0.29,0.22,-0.03,0.17,0.02,-0.02,0.08,-0.07,-0.09
Contig2.2_67_61685_62005,cce_2106,-0.13,-0.33,-0.17,0.66,0.6,-0.04,-0.13,-0.09,-0.07,0.41,0.02,
Contig2.2_7_6289_6945,cce_2168,0.22,0.06,-0.03,-0.16,-0.11,-0.05,0.21,-0.04,-0.03,-0.09,-0.04,-0.03
Contig2.2_8_7076_8566,cce_2167,-0.02,0.07,0.02,-0.03,-0.07,-0.06,0.03,-0.06,-0.03,-0.07,-0.04,-0.05
Contig2.2_9_9980_8613,Contig2.2_9_9980_8613,0.18,-0.02,-0.01,-0.01,-0.01,0.03,0.06,0.15,0.04,-0.01,-0.03,0.03
Contig2.3_10_9865_8798,cce_2096,-0.22,-0.31,-0.21,-0.04,0.03,0.13,-0.22,-0.2,-0.12,0.01,0.08,0.16
Contig2.3_11_11163_9883,cce_2095,-0.23,-0.41,-0.34,0.17,0.06,0.15,-0.35,-0.25,-0.32,0.04,0.21,0.22
Contig2.3_12_11273_11932,cce_2094,-0.46,0.02,0.09,0.37,-0.25,-0.27,-0.61,0.21,0.09,0.34,-0.05,-0.19
Contig2.3_14_12602_12501,Contig2.3_14_12602_12501,-0.35,-0.01,-0.28,-0.11,-0.29,-0.21,-0.32,-0.11,-0.12,-0.07,-0.2,-0.14
Contig2.3_1_317_784,cce_2105,0.05,-0.04,0.09,0.3,0.24,,0.13,0.09,0.17,0.19,0.03,
Contig2.3_2_1319_891,cce_2104,-0.12,0.04,0.03,-0.19,-0.08,-0.06,-0.15,-0.05,0.01,-0.18,-0.1,-0.04
Contig2.3_3_1493_1996,cce_2103,-0.48,-0.05,0.1,0.46,0.03,-0.1,-0.55,0.17,0.17,0.47,0.18,0.01
Contig2.3_4_3448_2039,cce_2102,-0.11,-0.12,0.06,-0.04,0.13,0.11,-0.12,-0.03,0.13,-0.02,0.16,0.12
Contig2.3_5_4459_3482,cce_2101,-0.22,-0.04,0.09,0.1,0.02,0.01,-0.16,0.08,0.2,0.12,0.05,0.02
Contig2.3_6_5643_4537,cce_2100,-0.35,-0.08,0.02,-0.03,-0.01,0.01,-0.31,-0.02,-0.01,-0.01,-0.01,0.01
Contig2.3_7_6385_5618,cce_2099,-0.25,,-0.16,-0.15,-0.24,-0.16,-0.22,-0.15,-0.18,-0.13,-0.18,-0.18
Contig2.3_8_7566_6631,cce_2098,-0.2,-0.06,0.02,0.15,-0.21,-0.07,-0.3,0.12,0.22,0.28,0.06,0.08
Contig2.3_9_8849_7563,cce_2097,0.18,-0.29,-0.12,-0.42,,0.27,0.08,-0.33,-0.04,-0.32,0.08,0.29
Contig2.4_10_11879_13186,cce_2083,-0.11,-0.39,0.09,0.1,-0.06,-0.05,-0.21,-0.31,0.2,0.18,0.01,0.01
Contig2.4_11_13275_13400,Contig2.4_11_13275_13400,-0.03,-0.09,-0.03,0.03,-0.07,-0.05,-0.08,-0.05,0.01,0.05,,0.01
Contig2.4_12_14391_13438,cce_2082,-0.32,0.3,0.25,0.07,-0.22,-0.38,-0.28,0.38,0.19,-0.03,-0.24,-0.41
Contig2.4_13_14651_14424,cce_2081,0.05,0.45,0.54,-0.47,-0.35,-0.68,-0.06,0.48,0.76,-0.51,-0.36,-0.7
Contig2.4_14_15139_14879,cce_2080,-0.17,0.41,0.56,-0.19,-0.3,-0.72,-0.2,0.46,0.63,-0.24,-0.35,-0.7
Contig2.4_16_15293_17212,cce_2079,-0.83,-0.84,-0.5,-0.22,0.51,0.43,-0.77,-0.61,-0.37,-0.2,0.56,0.52
Contig2.4_17_17444_18217,cce_2078,-0.32,-0.3,-0.21,-0.16,0.04,0.04,-0.38,-0.19,-0.17,-0.12,-0.05,0.05
Contig2.4_18_18540_18214,cce_2077,0.11,0.13,0.15,0.01,0.02,-0.03,0.12,0.08,0.11,-0.04,0.01,-0.07
Contig2.4_19_18611_19987,cce_2076,-0.5,0.03,-0.05,0.69,-0.28,-0.56,-0.42,0.08,0.04,0.69,0.03,-0.38
Contig2.4_20_22139_20034,cce_2075,0.08,0.23,0.02,-0.17,-0.19,-0.04,0.15,0.16,0.31,-0.11,-0.14,0.03
Contig2.4_21_23264_22164,cce_2074,0.25,0.1,0.13,-0.22,-0.28,0.05,0.08,0.08,0.19,-0.19,-0.21,-0.01
Contig2.4_22_23857_23285,cce_2073,1.07,0.32,0.44,-1.79,-1.53,0.66,0.69,0.05,0.58,-1.39,-1.2,0.5
Contig2.4_23_24287_23916,cce_2072,0.49,0.77,1.57,-2.39,-2.06,-1.85,-0.26,0.32,1.87,-2.23,-1.97,-1.92
Contig2.4_24_24668_24306,cce_2071,0.45,0.9,1.78,-3.48,-3.28,-3.0,-0.4,0.31,2.16,-3.07,-2.89,-3.14
Contig2.4_25_25400_25062,cce_2070,0.14,0.85,1.65,-3.3,-2.82,-2.55,-0.78,0.42,2.18,-3.24,-2.79,-2.96
Contig2.4_26_27209_25950,cce_2069,0.05,0.15,0.05,-0.04,0.01,,0.13,0.05,0.08,-0.03,0.01,-0.01
Contig2.4_27_27994_27230,cce_2068,-0.27,-0.09,-0.2,-0.13,-0.15,-0.15,-0.28,-0.19,-0.18,-0.06,-0.11,-0.06
Contig2.4_28_29272_28019,cce_2067,0.35,0.39,-0.08,-0.17,-0.08,0.04,0.37,0.05,0.03,-0.28,0.04,0.07
Contig2.4_29_29706_29275,cce_2066,-0.21,-0.06,-0.06,0.06,-0.19,-0.19,-0.23,-0.02,-0.05,0.05,-0.11,-0.17
Contig2.4_2_1753_440,cce_2091,-0.38,-0.2,-0.09,0.38,-0.07,-0.16,-0.52,-0.04,-0.04,0.41,0.08,-0.06
Contig2.4_30_29798_31402,cce_2065,0.17,0.15,-0.02,-0.01,0.01,0.08,0.2,0.09,0.09,-0.02,0.01,0.03
Contig2.4_31_31452_32429,cce_2064,0.14,-0.01,-0.03,-0.05,0.27,-0.03,0.08,0.05,0.06,-0.05,-0.03,-0.05
Contig2.4_32_32541_33245,cce_2063,-0.41,-0.62,-0.28,0.13,0.22,0.34,-0.38,-0.44,-0.34,0.16,0.36,0.41
Contig2.4_33_33261_34133,cce_2062,-0.92,-0.99,-0.67,0.28,0.26,0.29,-0.88,-0.62,-0.56,0.21,0.39,0.39
Contig2.4_34_36927_34402,cce_2061,0.08,0.32,0.28,0.01,-0.11,-0.18,0.12,0.24,0.28,0.15,-0.15,-0.2
Contig2.4_35_37137_37415,cce_2060,0.39,0.17,0.34,-0.8,-0.51,-0.41,0.33,0.45,0.68,-0.81,-0.76,-0.56
Contig2.4_36_37418_38656,cce_2059,0.54,0.32,0.38,-0.53,-0.18,-0.28,0.53,0.31,0.49,-0.51,-0.44,-0.38
Contig2.4_37_41076_38704,cce_2058,-0.1,0.13,-0.06,-0.17,-0.2,-0.18,-0.11,-0.1,-0.15,-0.18,-0.25,-0.19
Contig2.4_38_42228_41077,cce_2057,0.06,0.16,0.11,-0.09,0.08,-0.05,0.03,0.07,0.06,-0.1,0.03,-0.03
Contig2.4_39_43758_42544,cce_2056,0.18,0.14,0.14,,0.05,0.09,0.2,0.14,0.15,-0.05,0.04,0.03
Contig2.4_3_2604_1753,cce_2090,-0.16,-0.06,0.08,0.25,-0.18,-0.16,-0.24,-0.02,0.03,0.13,-0.03,-0.09
Contig2.4_40_43816_43908,Contig2.4_40_43816_43908,0.05,0.19,0.14,-0.17,-0.06,,0.08,0.08,0.15,-0.15,0.03,0.01
Contig2.4_41_44672_44304,cce_2055,-0.05,0.08,0.21,0.17,0.01,0.1,-0.03,0.24,0.25,0.2,0.15,0.23
Contig2.4_42_44917_46596,cce_2054,-0.01,0.05,-0.08,-0.12,-0.25,-0.13,-0.03,-0.05,-0.18,-0.13,-0.16,-0.13
Contig2.4_43_46615_47523,cce_2053,-0.01,0.09,0.07,-0.04,-0.07,-0.02,0.04,0.06,0.14,-0.02,-0.03,-0.02
Contig2.4_44_47659_48591,cce_2052,0.74,-0.48,-0.57,-0.54,-0.1,0.61,0.86,-0.56,-0.7,-0.43,-0.07,0.45
Contig2.4_45_48928_51021,cce_2051,-0.74,-0.32,0.05,0.67,-0.49,-0.44,-0.64,-0.21,0.03,0.52,-0.21,-0.39
Contig2.4_46_51666_51256,cce_2050,0.04,-0.16,,0.34,-0.05,-0.2,-0.05,-0.12,0.09,0.27,-0.11,-0.16
Contig2.4_47_51939_53102,cce_2049,-0.22,-0.09,0.02,0.36,-0.06,-0.21,-0.28,0.01,0.08,0.28,0.09,-0.14
Contig2.4_49_53180_53476,cce_2047,-0.38,-0.33,-0.05,0.17,0.11,0.03,-0.38,-0.23,-0.03,0.13,0.1,0.11
Contig2.4_4_2885_7948,cce_2089,-0.13,0.11,-0.01,-0.04,-0.16,-0.16,-0.15,0.02,0.04,0.01,-0.06,-0.09
Contig2.4_50_53516_55528,cce_2046,-0.12,-0.01,0.06,0.23,0.02,-0.02,-0.11,0.05,0.09,0.22,0.04,-0.02
Contig2.4_51_57431_55542,cce_2045,-0.03,0.16,0.15,-0.08,-0.12,0.02,-0.12,0.18,0.12,0.01,-0.07,0.11
Contig2.4_52_57604_59301,cce_2044,0.49,0.07,-0.25,-0.34,-0.4,0.31,0.53,-0.03,-0.22,-0.32,-0.34,0.09
Contig2.4_53_59385_61367,cce_2043,0.03,-0.29,-0.24,-0.14,0.25,0.29,0.06,-0.32,-0.25,-0.23,0.25,0.18
Contig2.4_54_61360_62184,cce_2042,-0.04,-0.18,-0.16,0.03,0.16,0.14,-0.03,-0.09,-0.1,0.06,0.04,0.11
Contig2.4_55_62984_62208,cce_2041,-0.27,-0.08,-0.23,-0.14,-0.15,-0.01,-0.38,0.02,-0.08,,0.02,0.15
Contig2.4_56_63478_63017,cce_2040,-0.36,-0.19,-0.14,0.08,0.16,0.22,-0.41,0.02,0.02,0.17,0.3,0.33
Contig2.4_57_63750_65810,cce_2039,0.16,0.41,0.24,0.12,-0.1,-0.13,0.13,0.38,0.23,0.18,-0.03,-0.11
Contig2.4_58_69169_65924,cce_2038,1.23,-0.08,-0.28,-0.7,-0.67,0.4,1.36,-0.09,-0.43,-0.55,-0.46,0.18
Contig2.4_5_9089_8007,cce_2088,0.34,-0.56,-0.34,-0.43,0.12,0.45,0.3,-0.51,-0.33,-0.35,0.04,0.32
Contig2.4_61_70355_71062,cce_2034,0.23,0.38,0.17,0.26,-0.12,-0.19,0.1,0.55,0.22,0.18,-0.17,-0.27
Contig2.4_62_72495_71161,cce_2033,0.06,0.12,-0.01,-0.07,-0.1,-0.07,0.05,-0.04,-0.03,-0.07,-0.04,-0.05
Contig2.4_63_72786_76538,cce_2032,0.09,-0.53,-0.15,-0.26,0.4,0.42,0.07,-0.3,-0.01,-0.19,0.2,0.35
Contig2.4_65_76851_77216,cce_2030,0.08,0.02,0.12,0.07,0.09,0.15,0.19,0.08,0.1,0.05,0.08,0.07
Contig2.4_66_77441_77944,cce_2029,-0.38,-0.75,-0.46,0.3,0.35,0.34,-0.35,-0.65,-0.5,0.25,0.48,0.44
Contig2.4_67_77956_78672,cce_2028,-0.6,-1.06,-0.65,0.38,0.42,0.47,-0.52,-0.81,-0.62,0.35,0.58,0.52
Contig2.4_68_78708_79892,cce_2027,-0.23,-0.37,-0.29,0.39,0.17,0.1,-0.1,-0.33,-0.11,0.28,0.23,0.22
Contig2.4_69_79896_80687,cce_2026,-0.42,-0.46,-0.06,0.43,0.1,-0.01,-0.48,-0.29,-0.13,0.28,0.12,-0.04
Contig2.4_6_9283_10521,cce_2087,0.06,0.27,-0.01,-0.07,-0.12,-0.06,0.03,0.08,0.23,-0.07,-0.04,-0.06
Contig2.4_70_81285_80704,cce_2025,0.04,-0.03,0.01,0.18,0.12,0.05,0.05,0.03,0.02,0.15,0.04,0.01
Contig2.4_71_82646_81330,cce_2024,-0.24,-0.14,-0.32,0.17,0.08,,-0.15,-0.07,-0.21,0.03,-0.07,-0.14
Contig2.4_72_82875_82970,Contig2.4_72_82875_82970,0.19,0.04,0.13,0.04,0.07,0.07,0.17,0.13,0.12,,0.04,0.01
Contig2.4_74_83480_83226,cce_2021,-0.21,-0.14,-0.11,0.07,-0.08,-0.11,-0.28,-0.1,-0.12,0.05,-0.09,-0.09
Contig2.4_75_83911_83501,cce_2020,0.02,0.01,0.02,0.04,-0.04,-0.03,,0.02,0.04,0.11,0.02,0.01
Contig2.4_76_85653_83974,cce_2019,0.1,0.04,0.1,0.03,0.04,0.07,0.09,0.07,0.1,-0.03,0.03,0.02
Contig2.4_79_88126_86147,cce_2016,-0.5,-0.05,-0.07,0.49,0.12,-0.33,-0.58,0.16,0.1,0.56,0.24,-0.21
Contig2.4_80_89329_88373,cce_2015,0.12,0.05,0.1,0.05,0.04,0.06,0.13,0.09,0.05,-0.02,,0.01
Contig2.4_82_90769_91638,cce_2013,0.02,0.23,0.15,0.17,0.11,-0.05,0.03,0.26,0.17,0.12,0.11,-0.04
Contig2.4_86_92307_92768,cce_2011,-0.03,-0.25,0.05,-0.07,0.2,0.23,-0.03,-0.15,0.2,-0.05,0.15,0.27
Contig2.4_87_92831_94219,cce_2010,-0.07,-0.02,0.12,0.08,-0.08,-0.02,-0.09,-0.03,0.12,0.12,0.02,-0.04
Contig2.4_88_95342_94482,cce_2009,-0.19,-0.11,0.07,0.25,0.09,0.14,-0.2,0.12,0.24,0.27,0.12,0.16
Contig2.4_89_95550_97097,cce_2007,-0.16,-0.19,0.11,0.14,-0.06,0.07,-0.09,-0.06,0.12,0.1,0.11,0.2
Contig2.4_8_10686_11141,cce_2085,-0.6,-0.4,-0.32,0.62,0.07,-0.02,-0.67,-0.17,-0.27,0.53,0.16,0.17
Contig2.4_90_97137_97595,cce_2006,-0.1,-0.08,-0.03,0.12,-0.14,-0.04,-0.05,-0.08,0.03,0.12,0.05,0.1
Contig2.4_93_98682_101864,cce_2004,-0.31,-0.22,-0.14,0.15,0.25,-0.12,-0.25,-0.15,-0.04,0.21,0.35,0.03
Contig2.4_95_104433_102520,cce_2003,-1.35,0.91,-0.2,0.5,-0.92,-0.1,-1.26,0.83,-0.49,0.44,-0.99,-0.1
Contig2.4_96_104645_104484,Contig2.4_96_104645_104484,0.15,0.04,0.11,0.03,0.06,0.06,0.13,0.12,0.08,-0.01,0.01,0.02
Contig2.4_9_11211_11561,cce_2084,-0.77,-0.48,-0.38,0.73,-0.16,-0.2,-0.8,-0.23,-0.17,0.75,0.08,0.02
Contig20.1_10_12132_12659,cce_2387,0.04,-0.31,-0.11,-0.15,-0.1,0.11,0.05,-0.18,-0.1,-0.15,-0.11,0.08
Contig20.1_11_13067_12777,cce_2388,-0.43,-0.76,-0.91,-0.34,0.62,0.62,-0.25,-0.71,-0.53,-0.3,,0.43
Contig20.1_12_14044_13463,cce_2389,0.14,-0.23,-0.17,-0.26,0.08,0.54,0.1,-0.12,-0.11,-0.22,-0.05,0.4
Contig20.1_13_14424_14107,cce_2390,0.3,-0.4,-0.39,-0.51,0.04,0.67,0.29,-0.34,-0.31,-0.42,-0.16,0.51
Contig20.1_14_15019_16530,cce_2391,-0.64,-0.74,-0.56,0.32,0.28,0.33,-0.78,-0.65,-0.61,0.17,0.27,0.29
Contig20.1_15_16638_16805,cce_2392,-0.04,-0.13,-0.02,0.01,0.13,-0.02,-0.09,-0.09,-0.08,-0.06,0.04,-0.04
Contig20.1_17_17576_17367,cce_2394,0.23,0.14,0.1,-0.04,-0.05,-0.05,0.15,0.14,0.08,-0.04,-0.01,-0.06
Contig20.1_19_19428_17926,cce_2396,-0.07,0.06,0.05,0.02,0.01,0.12,-0.03,0.07,0.03,,-0.02,0.02
Contig20.1_1_584_3,cce_2378,-0.37,-0.46,-0.29,-0.11,0.61,0.19,-0.34,-0.3,-0.26,-0.03,0.49,0.29
Contig20.1_20_19441_19566,Contig20.1_20_19441_19566,0.12,0.06,0.11,0.09,0.09,0.09,0.16,0.14,0.19,0.07,0.07,0.1
Contig20.1_21_19612_19457,cce_2404,-0.21,-0.2,0.02,0.15,0.13,-0.04,-0.24,-0.07,0.04,0.18,0.02,-0.04
Contig20.1_2_3143_651,cce_2379,-0.23,-0.53,-0.13,0.32,0.52,-0.02,-0.29,-0.44,-0.36,0.29,0.46,0.03
Contig20.1_3_4017_3283,cce_2380,-0.04,-0.21,-0.07,0.26,0.27,0.08,-0.1,-0.08,-0.04,0.23,0.27,0.08
Contig20.1_4_4045_4914,cce_2381,-0.15,-0.04,-0.11,-0.11,-0.03,-0.04,-0.11,-0.11,-0.06,-0.04,0.04,0.02
